codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4615,MP 366,1.58781,KG,682586
4615,MP 371,0.94854,KG,202206010
4615,MP 372,0.70965,KG,091324
4615,MP 388,2.748,KG,090786
4634,MP 365,0.85,KG,62.65
4634,MP 365,0.3,KG,083229
4634,MP 365,0.5,KG,090921
4634,MP 385,1.65,KG,221123861/001
4634,MP 386,1.65,KG,660179
4634,MP 410,0.7425,KG,20201205RA-50
4634,MP 421,4.95,KG,NH108055
4634,MP 428,1.65,KG,2208115446
4635,MP 365,1.65,KG,090921
4635,MP 385,1.65,KG,221123861/001
4635,MP 386,1.65,KG,660179
4635,MP 410,0.7425,KG,20201205RA-50
4635,MP 421,4.95,KG,NH108055
4635,MP 428,1.65,KG,2208115446
4635,MP 455,0.18388,KG,220824
4638,MP 326,0.40305,KG,FFE/H-05/2022
4638,MP 350,4.0305,KG,9220325081
4638,MP 357,1.6122,KG,100100221002
4638,MP 399,0.48366,KG,5771.4002008.2609
4638,MP 400,0.24183,KG,220606B4
4638,MP 405,16.122,KG,683307
4638,MP 410,0.28214,KG,20201205RA-50
4644,MP 390,0.072,KG,L01251122
4644,MP 391,1.06003,KG,0020220120
4644,MP 421,1.23784,KG,NH108055
4644,MP 350,6.048,KG,9220325081
4644,MP 357,1.14567,KG,100100221002
4644,MP 364,2.11406,KG,20220516
4644,MP 371,0.92604,KG,202206010
4644,MP 372,0.69342,KG,091324
4644,MP 384,0.53839,KG,640473
4644,MP 386,1.76965,KG,660179
4644,MP 388,2.748,KG,090786
4699,MP 365,3.0,KG,090740
4699,MP 367,0.6,KG,210509217/001
4699,MP 461,0.15,KG,0019972232
4700,MP 365,7.5,KG,090740
4700,MP 367,0.3,KG,210509217/001
4700,MP 410,0.6,KG,20201205RA-50
4700,MP 461,4.5,KG,0019972232
4701,MP 365,6.5,KG,090740
4701,MP 367,0.52,KG,210509217/001
4701,MP 461,6.5,KG,0019972232
4702,MP 365,3.93291,KG,090740
4702,MP 365,2.56709,KG,090701
4702,MP 367,0.52,KG,210509217/001
4702,MP 461,6.5,KG,0019972232
4703,PI23,1.40928,KG,L02241022
4703,MP 326,10.0515,KG,FFE/H-05/2022
4703,MP 327,1.6745,KG,124144001485042022
4703,MP 347,2.81854,KG,0002575844
4703,MP 350,7.33379,KG,9220325081
4703,MP 357,10.9664,KG,10010012701
4703,MP 364,3.52318,KG,20220516
4703,MP 371,0.06915,KG,202206010
4703,MP 376,1.37668,KG,20220824024
4703,MP 379,12.3875,KG,LB273/22
4703,MP 391,0.70464,KG,0020220120
4703,MP 392,8.88368,KG,683309
4703,MP 393,1.42895,KG,664935
4703,MP 394,13.2169,KG,0024022
4703,MP 399,0.0083,KG,5771.4002008.2609
4703,MP 400,0.00391,KG,220606B4
4703,MP 405,0.27359,KG,678922
4703,MP 408,4.35571,KG,SL30779
4703,MP 409,18.149,KG,SL28131
4703,MP 428,1.48347,KG,2208115446
4704,MP 386,0.61538,KG,660179
4704,MP 410,0.12308,KG,20201205RA-50
4704,MP 421,0.23077,KG,NH108055
4704,MPHM14,0.76923,KG,RU009/22
4705,MP 390,0.11083,KG,L04211022
4705,MP 390,0.15266,KG,L01251122
4705,MP 391,1.08418,KG,0020220120
4705,MP 421,1.26965,KG,NH108055
4705,MP 350,5.93025,KG,9220325081
4705,MP 357,1.16637,KG,10010012701
4705,MP 364,2.16835,KG,20220516
4705,MP 366,1.58781,KG,682586
4705,MP 371,0.94854,KG,202206010
4705,MP 372,0.70965,KG,091324
4705,MP 388,2.748,KG,090786
4706,MP 347,0.42156,KG,0002575844
4706,MP 350,3.63707,KG,9220325081
4706,MP 357,0.6417,KG,10010012701
4706,MP 364,1.37561,KG,20220516
4706,MP 371,0.50446,KG,202206010
4706,MP 372,0.37706,KG,091324
4706,MP 374,2.81038,KG,MFC280720/01
4706,MP 388,1.70403,KG,090786
4706,MP 391,0.68781,KG,0020220120
4706,MP 404,0.93211,KG,090484
4706,MP 421,4.49661,KG,NH108055
4706,MP 430,14.5972,KG,08663052
4706,MP 435,0.70249,KG,22010495
4707,MP 326,0.40745,KG,FFE/H-05/2022
4707,MP 347,0.28612,KG,0002575844
4707,MP 350,6.22286,KG,9220325081
4707,MP 357,5.46646,KG,10010012701
4707,MP 364,2.03412,KG,20220516
4707,MP 371,0.38015,KG,202206010
